zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
39361,32.97952,-88.61234,Shuqualak,MS,Mississippi,True,,1356.0,4.0,28103,Noxubee,"{""28103"": 99.85, ""28069"": 0.15}",Noxubee|Kemper,28103|28069,False,False,America/Chicago
39362,31.39326,-88.53988,State Line,MS,Mississippi,True,,3994.0,7.9,28041,Greene,"{""28041"": 64.81, ""28153"": 35.19}",Greene|Wayne,28041|28153,False,False,America/Chicago
39363,32.11918,-88.77628,Stonewall,MS,Mississippi,True,,1468.0,24.4,28023,Clarke,"{""28023"": 100}",Clarke,28023,False,False,America/Chicago
39364,32.40597,-88.49617,Toomsuba,MS,Mississippi,True,,2743.0,12.7,28075,Lauderdale,"{""28075"": 100}",Lauderdale,28075,False,False,America/Chicago
39365,32.60486,-89.12225,Union,MS,Mississippi,True,,7705.0,15.5,28099,Neshoba,"{""28099"": 71.03, ""28101"": 28.26, ""28079"": 0.55, ""28069"": 0.16}",Neshoba|Newton|Leake|Kemper,28099|28101|28079|28069,False,False,America/Chicago
39366,31.93795,-88.90057,Vossburg,MS,Mississippi,True,,879.0,5.1,28023,Clarke,"{""28023"": 56.01, ""28061"": 43.99}",Clarke|Jasper,28023|28061,False,False,America/Chicago
39367,31.68219,-88.6644,Waynesboro,MS,Mississippi,True,,14522.0,12.2,28153,Wayne,"{""28153"": 95.41, ""28023"": 4.59}",Wayne|Clarke,28153|28023,False,False,America/Chicago
39401,31.23496,-89.26912,Hattiesburg,MS,Mississippi,True,,40933.0,83.7,28035,Forrest,"{""28035"": 95.42, ""28067"": 3.93, ""28031"": 0.44, ""28073"": 0.21}",Forrest|Jones|Covington|Lamar,28035|28067|28031|28073,False,False,America/Chicago
39402,31.33446,-89.4132,Hattiesburg,MS,Mississippi,True,,40886.0,169.3,28073,Lamar,"{""28073"": 56.44, ""28035"": 41.92, ""28031"": 1.64}",Lamar|Forrest|Covington,28073|28035|28031,False,False,America/Chicago
39406,31.32895,-89.33515,Hattiesburg,MS,Mississippi,True,,1727.0,1960.5,28035,Forrest,"{""28035"": 100}",Forrest,28035,False,False,America/Chicago
39421,31.48411,-89.71179,Bassfield,MS,Mississippi,True,,2985.0,17.3,28065,Jefferson Davis,"{""28065"": 82.76, ""28091"": 17.24}",Jefferson Davis|Marion,28065|28091,False,False,America/Chicago
39422,31.95953,-89.26745,Bay Springs,MS,Mississippi,True,,4330.0,11.9,28061,Jasper,"{""28061"": 71.46, ""28129"": 28.54}",Jasper|Smith,28061|28129,False,False,America/Chicago
39423,31.17553,-88.91103,Beaumont,MS,Mississippi,True,,2832.0,11.3,28111,Perry,"{""28111"": 97.37, ""28041"": 2.63}",Perry|Greene,28111|28041,False,False,America/Chicago
39425,31.05633,-89.06322,Brooklyn,MS,Mississippi,True,,2756.0,5.0,28111,Perry,"{""28111"": 79.46, ""28035"": 20.54}",Perry|Forrest,28111|28035,False,False,America/Chicago
39426,30.65375,-89.65709,Carriere,MS,Mississippi,True,,17571.0,37.1,28109,Pearl River,"{""28109"": 89.75, ""28045"": 10.25}",Pearl River|Hancock,28109|28045,False,False,America/Chicago
