zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
36036,31.97541,-86.16063,Grady,AL,Alabama,True,,2045.0,8.0,1101,Montgomery,"{""01101"": 69.83, ""01041"": 30.17}",Montgomery|Crenshaw,01101|01041,False,False,America/Chicago
36037,31.79384,-86.62356,Greenville,AL,Alabama,True,,13172.0,13.6,1013,Butler,"{""01013"": 98.02, ""01041"": 1.98}",Butler|Crenshaw,01013|01041,False,False,America/Chicago
36038,31.40788,-86.4869,Gantt,AL,Alabama,True,,,,1039,Covington,"{""01039"": 100}",Covington,01039,False,False,America/Chicago
36039,32.28939,-85.82789,Hardaway,AL,Alabama,True,,139.0,1.1,1087,Macon,"{""01087"": 100}",Macon,01087,False,False,America/Chicago
36040,32.17795,-86.66972,Hayneville,AL,Alabama,True,,3516.0,10.9,1085,Lowndes,"{""01085"": 100}",Lowndes,01085,False,False,America/Chicago
36041,31.92361,-86.32172,Highland Home,AL,Alabama,True,,1336.0,9.3,1041,Crenshaw,"{""01041"": 98.85, ""01101"": 1.15}",Crenshaw|Montgomery,01041|01101,False,False,America/Chicago
36042,31.86655,-86.44897,Honoraville,AL,Alabama,True,,1645.0,8.0,1041,Crenshaw,"{""01041"": 50.87, ""01013"": 49.13}",Crenshaw|Butler,01041|01013,False,False,America/Chicago
36043,32.1939,-86.42811,Hope Hull,AL,Alabama,True,,3788.0,11.8,1085,Lowndes,"{""01085"": 55.77, ""01101"": 44.23}",Lowndes|Montgomery,01085|01101,False,False,America/Chicago
36046,31.9994,-86.33948,Lapine,AL,Alabama,True,,1345.0,8.4,1041,Crenshaw,"{""01041"": 67.4, ""01101"": 32.6}",Crenshaw|Montgomery,01041|01101,False,False,America/Chicago
36047,32.07868,-86.52474,Letohatchee,AL,Alabama,True,,1117.0,4.1,1085,Lowndes,"{""01085"": 90.02, ""01101"": 9.98}",Lowndes|Montgomery,01085|01101,False,False,America/Chicago
36048,31.79011,-85.59066,Louisville,AL,Alabama,True,,1373.0,5.0,1005,Barbour,"{""01005"": 100}",Barbour,01005,False,False,America/Chicago
36049,31.76612,-86.28092,Luverne,AL,Alabama,True,,5965.0,14.3,1041,Crenshaw,"{""01041"": 95.82, ""01109"": 4.18}",Crenshaw|Pike,01041|01109,False,False,America/Chicago
