zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
20390,38.87902,-76.99375,Washington,DC,District of Columbia,True,,434.0,39689.1,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20408,38.89284,-77.02301,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20415,38.89494,-77.0442,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20418,38.8928,-77.04776,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20422,38.92714,-77.0103,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20427,38.90207,-77.04755,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20431,38.89895,-77.04419,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20510,38.89278,-77.00689,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20515,38.88681,-77.00901,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20520,38.8947,-77.04848,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20530,38.89313,-77.02503,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20535,38.89514,-77.02493,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20540,38.88793,-77.00471,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20542,38.94136,-77.02801,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20551,38.8928,-77.0458,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20560,38.8902,-77.02745,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20565,38.89007,-77.01955,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20566,38.89667,-77.05536,Washington,DC,District of Columbia,True,,0.0,0.0,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
20591,38.88695,-77.02297,Washington,DC,District of Columbia,True,,,,11001,District of Columbia,"{""11001"": 100}",District of Columbia,11001,False,False,America/New_York
