zip,Zipcode name,City,State,County Name
97342,"DETROIT, OR",DETROIT,OR,MARION
97431,"DEXTER, OR",DEXTER,OR,LANE
97722,"DIAMOND, OR",DIAMOND,OR,HARNEY
97432,"DILLARD, OR",DILLARD,OR,DOUGLAS
97020,"DONALD, OR",DONALD,OR,MARION
97434,"DORENA, OR",DORENA,OR,LANE
97435,"DRAIN, OR",DRAIN,OR,DOUGLAS
97904,"DREWSEY, OR",DREWSEY,OR,HARNEY
97021,"DUFUR, OR",DUFUR,OR,WASCO
97115,"DUNDEE, OR",DUNDEE,OR,YAMHILL
97905,"DURKEE, OR",DURKEE,OR,BAKER
97022,"EAGLE CREEK, OR",EAGLE CREEK,OR,CLACKAMAS
97524,"EAGLE POINT, OR",EAGLE POINT,OR,JACKSON
97826,"ECHO, OR",ECHO,OR,UMATILLA
97343,"EDDYVILLE, OR",EDDYVILLE,OR,LINCOLN
97827,"ELGIN, OR",ELGIN,OR,UNION
97436,"ELKTON, OR",ELKTON,OR,DOUGLAS
97437,"ELMIRA, OR",ELMIRA,OR,LANE
97828,"ENTERPRISE, OR",ENTERPRISE,OR,WALLOWA
97023,"ESTACADA, OR",ESTACADA,OR,CLACKAMAS
97401,"EUGENE, OR",EUGENE,OR,LANE
97402,"EUGENE, OR",EUGENE,OR,LANE
97403,"EUGENE, OR",EUGENE,OR,LANE
97404,"EUGENE, OR",EUGENE,OR,LANE
97405,"EUGENE, OR",EUGENE,OR,LANE
97408,"EUGENE, OR",EUGENE,OR,LANE
97440,"EUGENE, OR",EUGENE,OR,LANE
97024,"FAIRVIEW, OR",FAIRVIEW,OR,MULTNOMAH
97438,"FALL CREEK, OR",FALL CREEK,OR,LANE
97344,"FALLS CITY, OR",FALLS CITY,OR,POLK
97710,"FIELDS, OR",FIELDS,OR,HARNEY
97439,"FLORENCE, OR",FLORENCE,OR,LANE
97116,"FOREST GROVE, OR",FOREST GROVE,OR,WASHINGTON
97626,"FORT KLAMATH, OR",FORT KLAMATH,OR,KLAMATH
97735,"FORT ROCK, OR",FORT ROCK,OR,LAKE
97830,"FOSSIL, OR",FOSSIL,OR,WHEELER
97345,"FOSTER, OR",FOSTER,OR,LINN
97736,"FRENCHGLEN, OR",FRENCHGLEN,OR,HARNEY
97117,"GALES CREEK, OR",GALES CREEK,OR,WASHINGTON
97441,"GARDINER, OR",GARDINER,OR,DOUGLAS
97118,"GARIBALDI, OR",GARIBALDI,OR,TILLAMOOK
97119,"GASTON, OR",GASTON,OR,WASHINGTON
97346,"GATES, OR",GATES,OR,MARION
97026,"GERVAIS, OR",GERVAIS,OR,MARION
97737,"GILCHRIST, OR",GILCHRIST,OR,KLAMATH
97027,"GLADSTONE, OR",GLADSTONE,OR,CLACKAMAS
97442,"GLENDALE, OR",GLENDALE,OR,DOUGLAS
97388,"GLENEDEN BEACH, OR",GLENEDEN BEACH,OR,LINCOLN
97443,"GLIDE, OR",GLIDE,OR,DOUGLAS
